driver_id,pickup_datetime,passenger_count,fare_amount
610685,2009-06-15 17:26:21 UTC,1,4.5
825735,2010-01-05 16:52:16 UTC,1,16.9
428317,2011-08-18 00:35:00 UTC,2,5.7
356886,2012-04-21 04:30:42 UTC,1,7.7
603801,2010-03-09 07:51:00 UTC,1,5.3
183971,2011-01-06 09:50:45 UTC,1,12.1
600461,2012-11-20 20:35:00 UTC,1,7.5
596197,2012-01-04 17:22:00 UTC,1,16.5
382017,2012-12-03 13:10:00 UTC,1,9.0
599864,2009-09-02 01:11:00 UTC,2,8.9
486440,2012-04-08 07:30:50 UTC,1,5.3
60412,2012-12-24 11:24:00 UTC,3,5.5
318925,2009-11-06 01:04:03 UTC,2,4.1
942474,2013-07-02 19:54:00 UTC,1,7.0
111143,2011-04-05 17:11:05 UTC,2,7.7
991464,2013-11-23 12:57:00 UTC,1,5.0
239703,2014-02-19 07:22:00 UTC,1,12.5
580070,2009-07-22 16:08:00 UTC,1,5.3
640316,2010-07-07 14:52:00 UTC,1,5.3
365485,2014-12-06 20:36:22 UTC,1,4.0
722419,2010-09-07 13:18:00 UTC,1,10.5
675995,2013-02-12 12:15:46 UTC,1,11.5
413668,2009-08-06 18:17:23 UTC,1,4.5
316981,2010-12-06 12:29:00 UTC,1,4.9
908104,2009-12-10 15:37:00 UTC,1,6.1
553135,2011-06-21 16:15:00 UTC,3,7.3
327671,2011-02-07 20:01:00 UTC,1,6.5
641604,2011-06-28 19:47:00 UTC,3,4.5
375647,2012-05-04 06:11:20 UTC,1,9.3
54316,2013-08-11 00:52:00 UTC,2,4.5
537569,2014-02-19 16:03:00 UTC,1,5.5
337770,2015-06-21 21:46:34 UTC,1,22.54
83782,2009-01-09 16:10:00 UTC,3,31.9
514488,2011-09-07 14:05:00 UTC,2,5.7
65633,2011-09-07 23:05:44 UTC,1,18.1
45149,2015-01-11 03:15:38 UTC,1,58.0
950354,2015-03-12 08:08:38 UTC,1,4.5
948690,2012-01-19 10:15:30 UTC,1,5.3
528717,2013-11-24 11:42:00 UTC,6,9.0
354086,2009-03-02 20:42:49 UTC,1,9.8
512985,2011-03-29 15:39:49 UTC,1,8.1
459362,2011-10-15 10:55:24 UTC,2,10.9
436405,2013-11-22 08:38:09 UTC,1,17.5
232378,2009-06-10 21:28:00 UTC,1,12.1
384006,2011-03-04 18:12:00 UTC,1,5.3
764240,2011-08-31 21:14:15 UTC,1,6.9
424620,2011-06-01 20:30:00 UTC,1,4.5
927041,2011-12-14 07:53:00 UTC,1,3.3
202012,2012-07-18 00:16:00 UTC,5,3.3
907710,2013-01-29 12:26:00 UTC,1,9.0
765579,2011-12-06 09:09:21 UTC,1,9.7
611189,2012-10-06 20:31:36 UTC,3,5.5
38307,2013-01-23 07:01:38 UTC,1,8.0
184210,2013-09-07 03:17:00 UTC,1,7.5
598039,2013-11-10 01:12:19 UTC,4,25.5
218607,2012-01-04 18:07:29 UTC,1,15.3
720000,2010-05-31 18:06:00 UTC,1,34.67
265114,2011-03-19 21:55:00 UTC,4,9.7
71534,2012-07-19 23:53:14 UTC,2,13.7
888568,2009-03-23 12:13:29 UTC,1,6.5
806720,2014-07-16 10:57:00 UTC,6,5.0
739351,2011-04-22 23:21:03 UTC,3,4.5
533241,2012-01-02 14:54:00 UTC,1,4.9
627787,2014-05-01 09:12:00 UTC,6,7.0
219545,2011-11-07 10:47:40 UTC,1,7.3
153783,2012-10-07 17:59:08 UTC,1,7.5
302992,2014-01-17 09:03:00 UTC,4,8.5
178214,2014-04-29 18:28:00 UTC,6,16.5
608641,2015-04-12 10:19:05 UTC,6,11.5
227659,2015-05-12 23:51:42 UTC,1,5.0
618624,2009-08-02 02:34:11 UTC,2,6.9
554079,2010-01-31 10:53:00 UTC,1,3.7
963777,2010-05-14 08:09:00 UTC,2,6.9
589216,2012-05-21 15:20:00 UTC,2,10.1
949840,2014-12-08 16:00:01 UTC,1,16.5
777354,2010-08-16 01:33:00 UTC,2,15.07
183155,2010-12-04 14:26:13 UTC,1,7.7
509709,2011-08-12 04:20:00 UTC,1,24.9
301407,2013-02-06 22:16:00 UTC,2,7.0
957374,2014-06-11 22:24:21 UTC,1,8.5
753671,2010-08-19 16:33:00 UTC,1,5.7
65892,2013-03-10 15:44:00 UTC,1,5.0
388143,2013-06-14 08:27:43 UTC,1,8.5
441319,2013-07-08 21:24:00 UTC,1,17.0
206426,2014-03-21 11:00:29 UTC,1,8.0
836074,2014-10-02 13:39:56 UTC,1,12.0
772300,2011-08-31 08:21:47 UTC,1,12.5
106592,2014-05-19 06:26:00 UTC,1,7.5
667778,2012-04-05 05:50:00 UTC,5,6.9
395664,2015-03-04 14:55:40 UTC,2,5.0
328661,2010-04-27 21:40:07 UTC,1,10.5
577484,2011-02-22 11:09:16 UTC,1,7.7
261375,2015-04-03 16:21:30 UTC,2,11.0
270777,2009-01-09 15:01:20 UTC,1,5.7
181679,2013-01-09 14:42:00 UTC,1,9.0
239713,2013-07-06 17:18:00 UTC,1,13.5
819098,2013-10-08 17:29:00 UTC,1,7.5
85113,2014-12-07 12:26:00 UTC,1,9.0
334210,2015-05-17 08:02:59 UTC,1,14.0
736463,2011-06-09 00:53:00 UTC,3,5.7
6366,2014-11-12 12:40:29 UTC,1,10.0
31799,2010-06-04 14:49:00 UTC,5,5.7
41440,2010-11-08 20:42:00 UTC,2,9.7
598984,2011-03-09 07:24:34 UTC,1,14.1
464673,2011-08-04 10:38:00 UTC,2,7.7
667860,2009-03-25 00:08:52 UTC,1,52.0
387360,2010-03-22 10:01:00 UTC,1,11.3
478668,2012-03-25 09:22:45 UTC,1,8.5
325062,2012-06-05 09:16:00 UTC,6,12.9
241103,2012-11-06 11:33:14 UTC,1,9.5
291254,2014-05-22 18:30:00 UTC,1,9.0
913747,2014-10-17 08:28:00 UTC,6,10.0
848127,2012-12-06 18:05:00 UTC,2,35.0
806150,2012-12-06 18:05:00 UTC,1,9.0
991026,2014-07-20 12:48:35 UTC,1,17.0
819056,2009-01-25 18:41:00 UTC,5,6.1
876348,2010-03-27 02:26:39 UTC,2,14.5
272598,2011-01-05 17:39:00 UTC,1,3.7
319321,2012-05-11 15:03:53 UTC,2,32.5
556137,2010-01-03 10:20:12 UTC,3,5.3
140466,2012-11-08 21:00:00 UTC,5,11.5
75831,2013-11-23 23:34:03 UTC,1,4.0
860236,2010-06-17 16:12:58 UTC,1,10.5
93917,2012-08-19 19:56:34 UTC,1,17.7
600142,2013-01-17 17:22:00 UTC,2,8.0
478066,2013-05-10 16:39:08 UTC,1,5.0
584056,2013-09-17 04:22:00 UTC,1,19.0
490028,2014-01-06 21:21:00 UTC,1,8.0
113645,2010-09-30 08:38:00 UTC,2,7.3
859025,2012-10-06 15:47:00 UTC,5,6.5
623452,2013-02-11 00:13:00 UTC,1,8.0
680216,2014-09-12 23:10:00 UTC,1,16.5
36162,2009-09-22 21:14:00 UTC,2,49.57
140845,2012-02-03 13:46:35 UTC,1,10.5
381445,2012-02-12 01:26:00 UTC,5,22.5
289581,2012-12-21 06:47:00 UTC,1,11.5
117972,2014-11-01 16:51:09 UTC,2,12.5
100779,2013-01-26 18:36:00 UTC,1,5.5
456577,2013-05-20 11:03:50 UTC,1,6.5
998058,2015-05-31 07:33:18 UTC,3,16.5
426465,2015-02-15 22:41:32 UTC,1,9.0
998796,2009-06-25 10:29:00 UTC,1,8.9
579776,2009-07-23 17:05:10 UTC,1,10.9
225788,2011-03-19 15:00:27 UTC,1,8.9
306747,2011-05-06 11:37:14 UTC,1,8.5
211188,2013-02-08 09:50:04 UTC,1,17.0
666098,2010-08-24 01:39:26 UTC,1,12.5
631483,2014-05-13 22:19:00 UTC,1,52.5
959760,2014-10-25 21:24:00 UTC,1,16.0
191113,2015-04-19 22:21:12 UTC,1,8.0
449515,2010-05-17 07:44:00 UTC,1,17.3
701000,2011-10-26 03:37:00 UTC,1,5.7
104446,2015-04-18 09:30:31 UTC,1,5.5
137064,2009-02-27 13:31:21 UTC,2,16.5
717732,2009-07-16 20:33:00 UTC,2,12.9
627650,2011-05-16 13:10:38 UTC,1,10.1
436768,2013-08-09 21:19:00 UTC,1,9.5
736317,2010-03-14 15:40:00 UTC,5,4.5
828939,2011-04-27 13:19:48 UTC,1,6.5
379468,2015-01-30 00:16:06 UTC,1,21.5
285558,2014-11-04 12:11:19 UTC,1,8.0
417194,2009-12-27 21:07:39 UTC,1,4.9
911361,2010-07-04 13:07:47 UTC,2,5.7
977962,2011-06-12 13:33:00 UTC,5,15.3
151412,2012-08-28 12:29:40 UTC,1,14.9
568920,2012-11-11 18:23:00 UTC,1,7.0
70918,2013-03-24 18:05:42 UTC,1,35.5
201551,2014-08-13 08:26:00 UTC,1,8.5
902637,2009-01-16 21:10:00 UTC,1,4.5
770086,2011-01-21 18:43:46 UTC,1,4.1
385079,2011-02-26 20:27:36 UTC,1,11.7
129408,2013-06-22 02:35:01 UTC,1,23.0
25491,2009-06-06 23:56:00 UTC,2,5.7
857648,2009-01-24 09:51:00 UTC,1,5.3
580579,2015-02-27 07:50:56 UTC,1,10.5
62728,2009-03-25 14:48:49 UTC,1,4.9
214562,2010-09-10 18:45:00 UTC,4,6.5
483520,2011-08-31 13:47:02 UTC,2,11.3
369227,2013-04-12 04:39:51 UTC,1,11.5
616696,2009-05-29 09:46:11 UTC,2,5.3
282366,2010-07-15 19:09:01 UTC,1,5.7
897217,2009-09-07 18:52:00 UTC,1,8.1
791572,2010-06-09 06:20:32 UTC,1,6.1
190195,2012-04-15 17:02:44 UTC,1,9.3
941439,2013-02-06 14:52:00 UTC,2,4.5
133989,2011-12-13 05:56:00 UTC,4,5.7
722294,2014-07-27 08:22:00 UTC,2,16.5
120469,2013-06-06 15:23:56 UTC,2,17.0
336774,2014-07-12 15:22:00 UTC,6,24.5
806265,2010-05-25 20:14:00 UTC,1,6.1
893606,2012-09-08 00:49:20 UTC,1,6.0
154020,2014-01-08 21:55:58 UTC,1,6.5
161441,2010-09-05 17:08:00 UTC,5,3.7
16262,2012-08-30 18:57:00 UTC,3,4.5
806755,2013-05-02 07:41:00 UTC,1,27.0
493896,2014-02-05 00:28:00 UTC,1,16.0
478454,2010-01-12 17:11:00 UTC,1,16.1
592004,2010-11-07 17:14:23 UTC,2,15.7
434192,2012-04-22 00:35:00 UTC,6,26.9
630027,2013-01-05 21:36:00 UTC,1,5.5
680342,2013-10-05 09:12:21 UTC,1,6.0
665447,2009-11-16 23:53:00 UTC,1,7.7
756398,2011-04-05 11:29:00 UTC,1,12.9
641245,2012-04-25 20:39:00 UTC,1,11.3
907276,2011-01-10 16:07:00 UTC,2,42.5
701982,2011-01-14 18:10:00 UTC,2,5.7
580975,2012-04-02 08:02:16 UTC,2,5.3
4864,2010-02-10 08:57:54 UTC,1,10.5
275167,2011-05-31 22:21:01 UTC,1,7.3
827320,2011-09-26 09:32:42 UTC,1,4.5
232487,2012-10-23 08:09:25 UTC,1,12.5
667768,2013-09-07 22:29:00 UTC,1,16.5
119832,2012-07-31 19:20:00 UTC,2,4.9
195238,2011-08-26 08:00:00 UTC,1,4.1
254016,2013-03-17 12:56:58 UTC,1,15.5
219089,2015-05-25 15:11:09 UTC,1,11.0
34178,2009-04-08 19:11:10 UTC,2,4.9
89969,2009-06-06 01:57:52 UTC,1,11.3
555406,2011-02-27 14:45:00 UTC,1,7.3
295034,2012-01-13 11:28:00 UTC,6,14.9
872690,2012-03-16 07:58:00 UTC,5,30.9
42539,2012-06-18 20:57:27 UTC,1,6.1
758660,2010-02-23 09:49:00 UTC,1,3.3
44856,2012-01-06 07:05:08 UTC,1,4.1
453093,2014-07-21 14:03:00 UTC,3,12.0
297369,2014-08-05 11:44:33 UTC,1,9.0
530447,2012-03-29 03:51:00 UTC,1,2.5
533802,2012-06-30 13:43:00 UTC,1,8.9
319494,2014-01-31 04:49:53 UTC,1,10.5
40671,2010-11-16 19:40:00 UTC,1,5.7
309480,2012-12-15 19:11:53 UTC,2,7.0
851451,2014-07-20 23:51:54 UTC,1,12.0
751125,2010-05-24 14:24:00 UTC,1,49.57
524582,2011-07-24 01:14:35 UTC,2,8.5
500241,2012-08-18 18:33:00 UTC,1,4.5
